feature,importance_mean,importance_std
is_coastal,5.307747252071964,2.649320457012973
latitude,3.013725821162318,0.9438875890240305
precipitation_mm,2.8309633961868497,1.690774001103423
month_cos,2.6539690738268793,1.419692154374377
pressure_hpa,2.502888824550385,0.410621819154888
region,2.434757006216956,0.8462866412069712
temperature_c,1.9576766203877332,0.5727025918055124
humidity_pct,1.9409144370746867,0.6537963307416027
industrial_index,1.7343913615492843,0.7395440372114632
wind_speed_kmh,1.465554674409784,0.9920481109691307
population_density,1.307047346347024,1.4297083468096183
month_sin,0.49290867586606546,0.7433433827875966
longitude,-0.10401249378162779,0.6203433992667878
